breed_a,breed_b,term,delta,rank,direction
GOLDEN RETRIEVER,XOLOITZCUINTLE,xoloitzcuintle,0.1353502962510403,5,B_minus_A
GOLDEN RETRIEVER,XOLOITZCUINTLE,hair,0.1304829307304892,6,B_minus_A
GOLDEN RETRIEVER,XOLOITZCUINTLE,short,0.11878946863442316,7,B_minus_A
GOLDEN RETRIEVER,XOLOITZCUINTLE,smooth,0.11843150921966027,8,B_minus_A
GOLDEN RETRIEVER,XOLOITZCUINTLE,grey,0.11843150921966027,9,B_minus_A
GOLDEN RETRIEVER,XOLOITZCUINTLE,elegant,0.10151272218828024,10,B_minus_A
LABRADOR RETRIEVER,XOLOITZCUINTLE,labrador,0.3019079360144004,1,A_minus_B
LABRADOR RETRIEVER,XOLOITZCUINTLE,having,0.1509539680072002,2,A_minus_B
LABRADOR RETRIEVER,XOLOITZCUINTLE,retriever,0.11901384225314249,3,A_minus_B
LABRADOR RETRIEVER,XOLOITZCUINTLE,appearance,0.11363222135032847,4,A_minus_B
LABRADOR RETRIEVER,XOLOITZCUINTLE,described,0.1006359786714668,5,A_minus_B
LABRADOR RETRIEVER,XOLOITZCUINTLE,otter,0.1006359786714668,6,A_minus_B
LABRADOR RETRIEVER,XOLOITZCUINTLE,weatherresistant,0.1006359786714668,7,A_minus_B
LABRADOR RETRIEVER,XOLOITZCUINTLE,malmesbury,0.1006359786714668,8,A_minus_B
LABRADOR RETRIEVER,XOLOITZCUINTLE,wellarched,0.1006359786714668,9,A_minus_B
LABRADOR RETRIEVER,XOLOITZCUINTLE,keen,0.1006359786714668,10,A_minus_B
LABRADOR RETRIEVER,XOLOITZCUINTLE,variety,0.3734910487519728,1,B_minus_A
LABRADOR RETRIEVER,XOLOITZCUINTLE,coated,0.3552945276589808,2,B_minus_A
LABRADOR RETRIEVER,XOLOITZCUINTLE,hairless,0.3552945276589808,3,B_minus_A
LABRADOR RETRIEVER,XOLOITZCUINTLE,skin,0.16918787031380042,4,B_minus_A
LABRADOR RETRIEVER,XOLOITZCUINTLE,hair,0.14149155957943305,5,B_minus_A
LABRADOR RETRIEVER,XOLOITZCUINTLE,xoloitzcuintle,0.1353502962510403,6,B_minus_A
LABRADOR RETRIEVER,XOLOITZCUINTLE,grey,0.11843150921966027,7,B_minus_A
LABRADOR RETRIEVER,XOLOITZCUINTLE,smooth,0.11843150921966027,8,B_minus_A
LABRADOR RETRIEVER,XOLOITZCUINTLE,absence,0.10151272218828024,9,B_minus_A
LABRADOR RETRIEVER,XOLOITZCUINTLE,incisors,0.10151272218828024,10,B_minus_A
